cal_yr,age_yr,sex,N,x,h,pt,age_m,age_s,rate
2017,93,1,305,119,19,190.99794661190964,93,0,62.304334738109574
2017,93,2,1159,395,41,788.3723477070499,93,0,50.10322865189806
2017,94,1,239,104,14,145.19917864476386,94,0,71.62574951917638
2017,94,2,1023,377,54,691.8083504449007,94,0,54.494861150136735
2017,95,1,194,92,17,105.77960301163587,95,0,86.97328916036857
2017,95,2,835,313,37,554.7488021902807,95,0,56.42193345243852
2017,96,1,158,75,11,97.90828199863107,96,0,76.60230418612456
2017,96,2,687,242,21,467.89322381930185,96,0,51.72120212056314
2017,97,1,113,51,11,67.5482546201232,97,0,75.50158073929961
2017,97,2,622,230,22,410.11088295687887,97,0,56.082393703310565
2017,98,1,87,42,2,54.34633812457221,98,0,77.28211586901763
2017,98,2,406,145,21,272.77207392197124,98,0,53.15793435712135
2017,99,1,39,16,2,26.93223819301848,99,0,59.40835620616041
2017,99,2,210,76,9,142.02053388090349,99,0,53.51338846798913
2017,ge100,1,59,32,1,32.498288843258045,102.15254237288136,4.455966783608453,98.46672283066553
2017,ge100,2,436,190,12,284.9911019849418,101.4862385321101,1.6821698024043408,66.66874813868368
2018,70,1,225,46,19,173.05407255304587,70,0,26.58128717883812
2018,70,2,218,42,10,166.0889801505818,70,0,25.287650006593697
2018,71,1,273,51,20,207.46064339493498,71,0,24.582975915539425
2018,71,2,249,31,9,190.94592744695413,71,0,16.23496264858122
2018,72,1,281,67,24,213.50034223134838,72,0,31.381682717585054
2018,72,2,330,61,16,250.89390828199862,72,0,24.313065397920102
2018,73,1,249,53,16,189.8069815195072,73,0,27.923103552728374
2018,73,2,304,43,12,234.91307323750857,73,0,18.30464324840913
2018,74,1,314,65,20,232.04654346338125,74,0,28.011621733231078
2018,74,2,404,66,21,317.8316221765914,74,0,20.765712218317137
2018,75,1,326,82,21,241.01026694045174,75,0,34.02344681866203
2018,75,2,427,76,16,335.1813826146475,75,0,22.674290381866452
2018,76,1,357,90,24,251.6933607118412,76,0,35.75779660832581
