hb,location,month_label,deaths,pats,crd_rate,sex
Scotland,Scot,2014M12,1718,279337,6.150277263663603,1
Scotland,Scot,2014M12,2321,383536,6.051583162988612,2
Scotland,Scot,2015M01,1945,284194,6.843916479587887,1
Scotland,Scot,2015M01,2597,385849,6.7306122343196435,2
Scotland,Scot,2015M02,1726,284194,6.073316115048171,1
Scotland,Scot,2015M02,2318,385849,6.007531443647645,2
Scotland,Scot,2015M03,1738,284194,6.115540792557197,1
Scotland,Scot,2015M03,2172,385849,5.629145080070183,2
Scotland,Scot,2015M04,1511,284194,5.316790643011464,1
Scotland,Scot,2015M04,1939,385849,5.025281910799302,2
Scotland,Scot,2015M05,1513,284194,5.323828089262968,1
Scotland,Scot,2015M05,1879,385849,4.869780665493496,2
Scotland,Scot,2015M06,1434,284194,5.0458489623285505,1
Scotland,Scot,2015M06,1813,385849,4.69872929565711,2
Scotland,Scot,2015M07,1416,284194,4.982511946065012,1
Scotland,Scot,2015M07,1793,385849,4.646895547221841,2
Scotland,Scot,2015M08,1386,284194,4.876950252292448,1
Scotland,Scot,2015M08,1790,385849,4.639120484956551,2
Scotland,Scot,2015M09,1490,284194,5.242897457370669,1
Scotland,Scot,2015M09,1669,385849,4.325526306923175,2
Scotland,Scot,2015M10,1477,284194,5.197154056735892,1
Scotland,Scot,2015M10,1815,385849,4.703912670500636,2
Scotland,Scot,2015M11,1638,284194,5.763668479981984,1
Scotland,Scot,2015M11,1810,385849,4.690954233391818,2
Scotland,Scot,2015M12,1603,284194,5.640513170580659,1
Scotland,Scot,2015M12,2042,385849,5.292225715240936,2
Scotland,Scot,2016M01,1719,290889,5.909470622814888,1
Scotland,Scot,2016M01,2210,390439,5.660295206165368,2
Scotland,Scot,2016M02,1608,290889,5.527881769334695,1
Scotland,Scot,2016M02,2029,390439,5.196714467560874,2
Scotland,Scot,2016M03,1637,290889,5.627576154478168,1
Scotland,Scot,2016M03,2030,390439,5.199275687111175,2
Scotland,Scot,2016M04,1487,290889,5.111915541667097,1
Scotland,Scot,2016M04,1879,390439,4.812531535015713,2
Scotland,Scot,2016M05,1420,290889,4.881587134611484,1
Scotland,Scot,2016M05,1760,390439,4.5077464085298855,2
Scotland,Scot,2016M06,1398,290889,4.805956911399194,1
Scotland,Scot,2016M06,1694,390439,4.338705918210015,2
Scotland,Scot,2016M07,1398,290889,4.805956911399194,1
Scotland,Scot,2016M07,1819,390439,4.658858361997649,2
Scotland,Scot,2016M08,1431,290889,4.919402246217629,1
Scotland,Scot,2016M08,1779,390439,4.556409579985606,2
Scotland,Scot,2016M09,1411,290889,4.85064749784282,1
Scotland,Scot,2016M09,1667,390439,4.269552990351886,2
Scotland,Scot,2016M10,1554,290889,5.342243948722709,1
Scotland,Scot,2016M10,1821,390439,4.663980801098251,2
Scotland,Scot,2016M11,1597,290889,5.4900666577285495,1
Scotland,Scot,2016M11,1978,390439,5.06609227049552,2
Scotland,Scot,2016M12,1826,290889,6.27730852662012,1
Scotland,Scot,2016M12,2257,390439,5.780672525029518,2
Scotland,Scot,2017M01,1793,304848,5.881619692436887,1
Scotland,Scot,2017M01,2390,402653,5.935631921282097,2
Scotland,Scot,2017M02,1589,304848,5.212433737469165,1
Scotland,Scot,2017M02,2066,402653,5.13096884910829,2
Scotland,Scot,2017M03,1655,304848,5.428935075841075,1
Scotland,Scot,2017M03,2089,402653,5.188089993120627,2
Scotland,Scot,2017M04,1554,304848,5.097622421665879,1
Scotland,Scot,2017M04,1891,402653,4.696351449014412,2
Scotland,Scot,2017M05,1576,304848,5.169789534456515,1
Scotland,Scot,2017M05,1914,402653,4.75347259302675,2
Scotland,Scot,2017M06,1451,304848,4.759749120873353,1
Scotland,Scot,2017M06,1744,402653,4.331272832935555,2
Scotland,Scot,2017M07,1538,304848,5.045137248727235,1
Scotland,Scot,2017M07,1732,402653,4.3014704969291175,2
Scotland,Scot,2017M08,1456,304848,4.77615073741668,1
Scotland,Scot,2017M08,1795,402653,4.457932760962914,2
Scotland,Scot,2017M09,1479,304848,4.851598173515981,1
Scotland,Scot,2017M09,1738,402653,4.316371664932336,2
Scotland,Scot,2017M10,1590,304848,5.21571406077783,1
Scotland,Scot,2017M10,1906,402653,4.7336043690224585,2
Scotland,Scot,2017M11,1741,304848,5.711042880386291,1
Scotland,Scot,2017M11,1959,402653,4.86523135305089,2
Scotland,Scot,2017M12,2103,304848,6.89851991812313,1
Scotland,Scot,2017M12,2672,402653,6.635986817433373,2
Scotland,Scot,2018M01,2273,314832,7.219723535091731,1
Scotland,Scot,2018M01,3128,410869,7.613132166213562,2
Scotland,Scot,2018M02,1617,314832,5.136072572038421,1
Scotland,Scot,2018M02,2034,410869,4.950483000664446,2
Scotland,Scot,2018M03,1748,314832,5.552167505209128,1
Scotland,Scot,2018M03,2187,410869,5.322864465316195,2
Scotland,Scot,2018M04,1494,314832,4.745388016465925,1
Scotland,Scot,2018M04,1841,410869,4.480746904731192,2
Scotland,Scot,2018M05,1510,314832,4.7962087716623465,1
Scotland,Scot,2018M05,1761,410869,4.286037642168186,2
Scotland,Scot,2018M06,1446,314832,4.592925750876658,1
Scotland,Scot,2018M06,1658,410869,4.035349466618314,2
Scotland,Scot,2018M07,1428,314832,4.535752401280683,1
Scotland,Scot,2018M07,1646,410869,4.006143077233863,2
Scotland,Scot,2018M08,1403,314832,4.456344971286274,1
Scotland,Scot,2018M08,1638,410869,3.986672150977562,2
Scotland,Scot,2018M09,1489,314832,4.7295065304670425,1
Scotland,Scot,2018M09,1659,410869,4.037783332400352,2
Scotland,Scot,2018M10,1620,314832,5.14560146363775,1
Scotland,Scot,2018M10,1824,410869,4.439371186436553,2
Scotland,Scot,2018M11,1604,314832,5.094780708441327,1
Scotland,Scot,2018M11,1859,410869,4.524556488807868,2
Scotland,Scot,2018M12,1729,314832,5.491817858413376,1
Scotland,Scot,2018M12,2172,410869,5.286356478585632,2
Scotland,Scot,2019M01,1868,324966,5.748293667645231,1
Scotland,Scot,2019M01,2196,419735,5.23187249097645,2
Scotland,Scot,2019M02,1527,324966,4.698953121249608,1
Scotland,Scot,2019M02,1941,419735,4.624346313745578,2
Scotland,Scot,2019M03,1601,324966,4.926669251552471,1
Scotland,Scot,2019M03,1917,419735,4.567167379417966,2
Scotland,Scot,2019M04,1514,324966,4.658948936196402,1
Scotland,Scot,2019M04,1782,419735,4.245535873825152,2
Scotland,Scot,2019M05,1544,324966,4.751266286319185,1
Scotland,Scot,2019M05,1917,419735,4.567167379417966,2
Scotland,Scot,2019M06,1451,324966,4.46508250093856,1
Scotland,Scot,2019M06,1719,419735,4.095441171215171,2
Scotland,Scot,2019M07,1519,324966,4.674335161216866,1
Scotland,Scot,2019M07,1709,419735,4.0716166152453335,2
Scotland,Scot,2019M08,1482,324966,4.560477096065434,1
Scotland,Scot,2019M08,1772,419735,4.221711317855314,2
Scotland,Scot,2019M09,1577,324966,4.852815371454245,1
Scotland,Scot,2019M09,1815,419735,4.324156908525618,2
Scotland,Scot,2019M10,1716,324966,5.280552427023134,1
Scotland,Scot,2019M10,1952,419735,4.6505533253124,2
Scotland,Scot,2019M11,1683,324966,5.179003341888075,1
Scotland,Scot,2019M11,2082,419735,4.960272552920294,2
Scotland,Scot,2019M12,1865,324966,5.739061932632953,1
Scotland,Scot,2019M12,2373,419735,5.653567131642584,2
Scotland,Scot,2020M01,1899,332020,5.719534967773026,1
Scotland,Scot,2020M01,2212,425293,5.20112016891884,2
Scotland,Scot,2020M02,1701,332020,5.123185350280103,1
Scotland,Scot,2020M02,1944,425293,4.570966369067913,2
Scotland,Scot,2020M03,1978,332020,5.957472441419191,1
Scotland,Scot,2020M03,2196,425293,5.1634990465396795,2
Scotland,Scot,2020M04,2785,332020,8.388048912716101,1
Scotland,Scot,2020M04,3230,425293,7.59476408029288,2
Scotland,Scot,2020M05,1970,332020,5.933377507379074,1
Scotland,Scot,2020M05,2355,425293,5.53735895018258,2
Scotland,Scot,2020M06,1390,332020,4.186494789470514,1
Scotland,Scot,2020M06,1727,425293,4.060729896800559,2
Scotland,Scot,2020M07,869,332020,2.617312210107825,1
Scotland,Scot,2020M07,1137,425293,2.673451009069042,2
Scotland,Scot,2020M08,881,332020,2.653454611168002,1
Scotland,Scot,2020M08,1078,425293,2.53472312029589,2
Scotland,Scot,2020M09,909,332020,2.737786880308415,1
Scotland,Scot,2020M09,1151,425293,2.7063694911508067,2
